5,Akron
6,Alabama A&M
7,Alabama State
8,Alabama
9,UAB
14,Albany
17,Alcorn State
27,Appalachian State
28,Arizona State
29,Arizona
30,Arkansas State
31,Arkansas
37,Auburn
43,Austin Peay
47,Ball State
48,Charleston Southern
51,Baylor
61,Bethune�Cookman
66,Boise State
67,Boston College
71,Bowling Green
77,BYU
81,Bryant
86,Buffalo
87,Butler
90,Cal Poly
96,Fresno State
102,Sacramento State
107,California
108,UC Davis
110,UCLA
115,Campbell
127,Central Connecticut State
128,UCF
129,Central Michigan
140,Cincinnati
141,The Citadel
147,Clemson
149,Coastal Carolina
153,Colgate
156,Colorado State
157,Colorado
164,Connecticut
178,Delaware State
180,Delaware
189,Drake
193,Duke
194,Duquesne
196,East Carolina
201,Eastern Illinois
202,Eastern Kentucky
204,Eastern Michigan
207,Eastern Washington
228,Florida A&M
231,Florida International
234,Florida State
235,Florida
239,Florida Atlantic
244,Furman
251,Georgetown
253,Georgia Southern
254,Georgia State
255,Georgia Tech
257,Georgia
261,Grambling State
277,Hawaii
283,Hofstra
285,Holy Cross
288,Houston
290,Howard
294,Idaho State
295,Idaho
299,Illinois State
301,Illinois
305,Indiana State
306,Indiana
311,Iowa State
312,Iowa
314,Jackson State
315,Jacksonville State
316,Jacksonville
317,James Madison
327,Kansas State
328,Kansas
331,Kent State
334,Kentucky
346,Lamar
352,Lehigh
355,Liberty
365,LSU
366,Louisiana Tech
367,Louisville
380,Maine
388,Marshall
392,Maryland
400,UMass
402,McNeese State
404,Memphis
414,Miami (OH)
415,Miami (FL)
416,Michigan State
418,Michigan
419,Middle Tennessee
428,Minnesota
430,Mississippi State
432,Mississippi Valley State
433,Ole Mississippi
434,Missouri
439,Monmouth
440,Montana State
441,Montana
446,Morgan State
454,Murray State
457,North Carolina
463,Nebraska
465,UNLV
466,Nevada
469,New Hampshire
472,New Mexico State
473,New Mexico
483,Nicholls State
485,Norfolk State
488,North Carolina A&T
490,NC State
493,North Dakota State
497,North Texas
498,Louisiana�Monroe
502,Northern Colorado
503,Northern Illinois
504,Northern Iowa
508,Northwestern State
509,Northwestern
513,Notre Dame
518,Ohio State
519,Ohio
521,Oklahoma State
523,Old Dominion
528,Oregon State
529,Oregon
539,Penn State
545,Pittsburgh
550,Portland State
553,Prairie View A&M
559,Purdue
572,Rhode Island
574,Rice
575,Richmond
587,Rutgers
600,St. Francis (IL)
624,Sam Houston State
625,Samford
626,San Diego State
627,San Diego
630,San Jose State
632,Savannah State
646,South Alabama
647,South Carolina State
648,South Carolina
649,South Dakota State
650,South Dakota
651,South Florida
654,SE Missouri State
655,Southeastern Louisiana
657,USC
659,Southern Illinois
663,SMU
664,Southern Mississippi
667,Southern Utah
669,Missouri State
670,Texas State
671,Louisiana-Lafayette
674,Stanford
676,Stephen F. Austin
683,Stony Brook
688,Syracuse
690,Temple
691,Tennessee State
692,Tennessee Tech
693,Chattanooga
694,Tennessee
695,Tennessee�Martin
697,Texas A&M
698,TCU
699,Texas Southern
700,Texas Tech
703,Texas
704,UTEP
706,UTSA
709,Toledo
711,Towson
716,Troy
718,Tulane
719,Tulsa
721,Air Force
725,Army
726,Navy
731,Utah State
732,Utah
736,Vanderbilt
739,Villanova
741,VMI
742,Virginia Tech
746,Virginia
748,Wagner
749,Wake Forest
754,Washington State
756,Washington
758,Weber State
768,West Virginia
769,Western Carolina
771,Western Illinois
772,Western Kentucky
774,Western Michigan
786,William & Mary
796,Wisconsin
811,Wyoming
817,Youngstown State
1004,Central Arkansas
1068,Elon
1092,Gardner-Webb
1320,Presbyterian
2678,Arkansas Pine Bluff
2915,Wofford
2916,Louisiana
2917,Abilene Christian
2918,American International
2919,Arkansas�Monticello
2920,Troy State
2921,Charlotte
2922,Northeastern
2923,Mercer
2924,Cal State-Northridge
2925,Southern
2926,Blue-White Spring Game
2927,Houston Baptist
2928,Clark Atlanta
2929,Saint Peter's
2930,Carson�Newman
2931,Kennesaw State
2932,Hargrave Military Academy
2933,Georgia Military College
2934,Louisburg College
2935,Milford Academy
2936,Huntingdon
2937,Pikeville
2938,Henderson State
2939,West Alabama
2940,SE Louisiana
2941,New Haven
2942,Incarnate Word